Asset,Time
A411995,354
A411995,643
A963266,253
A963266,254
A963266,354
A963266,362
A963266,462
A963266,549
A468145,136
A468145,166
A468145,168
A468145,211
A468145,689
A468145,710
A520535,44
A520535,65
A520535,86
A520535,105
A520535,138
A520535,286
A705508,461
A705508,525
A705508,541
A705508,572
A705508,618
A705508,621
A925546,195
A925546,490
A925546,545
A925546,705
A317170,163
A317170,461
A317170,575
A317170,580
A317170,614
A317170,712
A317170,718
A778758,35
A778758,47
A778758,285
A778758,582
A778758,602
A778758,730
A423447,206
A423447,549
A423447,566
A350977,13
A350977,56
A350977,115
A350977,164
A350977,311
A350977,503
A350977,609
A350977,704
A624962,100
A624962,102
A624962,123
A624962,134
A624962,152
A624962,153
A624962,156
A624962,167
A624962,168
A624962,173
A624962,185
A624962,201
A624962,206
A624962,281
A624962,342
A624962,351
A624962,509
A624962,592
A624962,681
A562394,160
A562394,268
A562394,384
A562394,591
A617637,209
A617637,351
A617637,382
A617637,602
A259772,69
A259772,90
A259772,94
A259772,128
A259772,412
A259772,541
A340560,195
A340560,269
A340560,315
A340560,427
A340560,493
A340560,586
A340560,717
A382795,286
A382795,310
A382795,333
A382795,696
A352991,32
A352991,195
A352991,249
A218698,20
A218698,406
A644455,247
A644455,391
A644455,426
A644455,529
A680806,33
A680806,513
A688179,94
A688179,428
A889977,35
A889977,181
A889977,189
A889977,500
A889977,502
A473991,30
A473991,373
A473991,528
A473991,555
A473991,560
A473991,567
A473991,568
A967386,45
A967386,120
A967386,253
A967386,254
A967386,405
A967386,455
A967386,594
A643849,495
A643849,713
A689996,0
A689996,318
A689996,319
A689996,327
A689996,585
A689996,707
A062344,62
A062344,102
A062344,644
A062344,709
A906763,65
A906763,247
A906763,249
A906763,260
A906763,262
A906763,332
A906763,513
A906763,560
A906763,567
A906763,637
A906763,702
A102262,75
A102262,154
A102262,205
A102262,206
A102262,227
A102262,235
A102262,476
A102262,586
A102262,730
A308950,108
A308950,120
A308950,365
A245979,48
A245979,57
A245979,190
A245979,388
A245979,439
A245979,447
A245979,513
A245979,527
A245979,574
A586613,71
A586613,95
A586613,144
A586613,157
A586613,216
A586613,452
A586613,531
A586613,534
A586613,550
A586613,640
A586613,696
A025347,14
A025347,30
A025347,55
A025347,61
A025347,256
A025347,266
A025347,296
A708728,87
A708728,162
A708728,333
A510740,40
A510740,47
A510740,175
A510740,288
A510740,306
A510740,451
A510740,643
A353394,92
A353394,154
A353394,233
A353394,251
A353394,263
A353394,400
A353394,543
A353394,569
A987249,383
A987249,550
A987249,560
A987249,562
A987249,568
A987249,625
A987249,664
A624010,32
A624010,212
A624010,474
A624010,592
A624010,683
A084954,121
A084954,303
A084954,498
A084954,506
A084954,670
A994158,271
A994158,420
A994158,426
A994158,469
A181324,18
A181324,37
A181324,80
A181324,225
A181324,263
A181324,410
A181324,424
A181324,542
A181324,548
A181324,616
A181324,669
A181324,670
A181324,680
A181324,729
A254493,80
A254493,219
A254493,483
A254493,705
A032543,43
A032543,118
A032543,158
A032543,186
A032543,323
A440417,204
A440417,220
A440417,333
A440417,399
A440417,430
A440417,463
A440417,528
A440417,573
A343896,18
A343896,419
A343896,627
A146101,324
A146101,356
A146101,401
A146101,421
A146101,439
A146101,561
A596663,90
A596663,195
A596663,266
A596663,282
A596663,518
A596663,652
A596663,653
A181493,14
A181493,133
A181493,163
A181493,169
A181493,197
A181493,400
A181493,471
A181493,477
A181493,486
A181493,509
A181493,721
A118643,144
A118643,306
A118643,331
A118643,627
A908598,13
A908598,298
A590332,65
A590332,216
A590332,265
A590332,458
A590332,501
A590332,663
A689377,92
A689377,109
A689377,122
A689377,222
A689377,260
A689377,267
A689377,376
A689377,523
A032733,216
A032733,367
A032733,375
A032733,473
A032733,510
A032733,663
A480060,6
A480060,159
A480060,198
A480060,227
A480060,344
A480060,565
A480060,635
A480060,699
A174929,254
A174929,480
A945796,188
A945796,227
A945796,243
A945796,250
A945796,325
A945796,326
A945796,458
A945796,498
A945796,672
A945796,683
A945796,708
A086859,448
A086859,699
A086859,703
A890398,262
A890398,402
A890398,560
A217137,108
A217137,418
A217137,422
A217137,480
A217137,614
A217137,641
A014075,40
A014075,99
A014075,195
A014075,417
A014075,594
A014075,615
A359848,160
A359848,251
A359848,341
A359848,520
A095311,73
A095311,117
A095311,143
A095311,513
A095311,531
A095311,570
A095311,603
A095311,671
A790640,16
A790640,91
A790640,193
A790640,298
A790640,343
A790640,391
A790640,555
A790640,650
A790640,693
A646559,179
A646559,245
A646559,341
A646559,365
A646559,504
A444280,165
A444280,235
A444280,243
A444280,258
A444280,272
A444280,473
A444280,551
A955607,200
A955607,256
A955607,282
A955607,587
A535676,179
A535676,263
A535676,364
A535676,671
A521304,24
A521304,149
A521304,155
A521304,256
A521304,430
A521304,594
A122955,14
A122955,51
A122955,68
A122955,167
A122955,229
A122955,334
A122955,339
A122955,375
A122955,433
A122955,469
A122955,487
A122955,496
A122955,532
A122955,624
A122955,625
A122955,638
A996001,548
A996001,591
A996001,621
A968300,48
A968300,56
A968300,230
A968300,435
A968300,452
A968300,534
A968300,604
A968300,609
A968300,612
A968300,649
A000463,81
A000463,255
A000463,325
A000463,492
A000463,530
A000463,593
A141075,26
A141075,71
A141075,125
A141075,145
A141075,205
A141075,383
A141075,510
A141075,564
A141075,678
A141075,728
A992101,17
A992101,310
A992101,398
A992101,471
A613569,195
A613569,278
A613569,434
A613569,588
A613569,591
A486113,32
A486113,254
A486113,550
A486113,624
A481735,67
A481735,272
A481735,342
A481735,355
A481735,379
A481735,413
A481735,504
A481735,577
A481735,581
A481735,595
A481735,608
A481735,687
A626066,460
A626066,597
A510752,57
A510752,73
A510752,116
A510752,248
A510752,292
A510752,456
A510752,532
A510752,575
A687723,220
A687723,300
A687723,323
A687723,355
A687723,702
A687723,725
A448898,25
A448898,63
A448898,153
A448898,160
A448898,173
A448898,419
A448898,688
A230865,8
A230865,20
A230865,113
A230865,204
A230865,213
A230865,221
