Asset,Time,Use
A650572,316,34350.92048010386
A650572,438,34641.51424716212
A650572,499,34796.439237431136
A650572,560,35007.38230327765
A650572,681,35266.75766363387
A650572,681,35266.75766363387
A650572,685,35269.675271736865
A180615,94,33696.50098260217
A180615,152,33844.7154742343
A180615,229,33971.92318752486
A180615,253,34036.69408741134
A180615,289,34120.72120077758
A180615,354,34284.399015355586
A180615,382,34321.74439907391
A180615,383,34324.37024636661
A180615,485,34564.781154053366
A180615,489,34573.53397836235
A180615,556,34769.59724288359
A180615,627,34923.938711532006
A603228,131,34902.348411569845
A603228,148,34928.89864530709
A603228,652,36092.73251759165
A988606,294,34052.44917116751
A988606,396,34344.793503087574
A988606,398,34350.04519767296
A988606,482,34519.84998926725
A988606,484,34524.22640142174
A988606,534,34709.786276772196
A988606,566,34834.368142770065
A988606,670,34948.15485878686
A183204,15,33392.486218270125
A183204,200,33842.964909372495
A183204,378,34389.724667873685
A183204,388,34390.016428683986
A183204,474,34638.01311743853
A183204,550,34854.49963868073
A124878,26,33381.39930747875
A124878,42,33405.03193311301
A124878,44,33409.116584457195
A124878,61,33447.045489796124
A124878,104,33572.210877414596
A124878,121,33613.93267328742
A124878,160,33706.12908934205
A124878,160,33707.00437177295
A124878,200,33810.871220239555
A124878,201,33814.66411077345
A124878,269,34057.117344132304
A124878,270,34059.743191425
A124878,278,34069.07953735458
A124878,287,34076.95707923266
A124878,288,34079.58292652536
A124878,303,34095.62977109183
A124878,488,34586.37145401553
A124878,524,34668.35624170968
A124878,524,34668.35624170968
A124878,543,34754.13391993772
A124878,556,34784.18528339856
A124878,557,34787.102891501556
A124878,625,34923.646950721704
A124878,670,35034.224297825196
A764985,67,33629.68775704359
A764985,215,33978.05016454115
A764985,231,33996.431095590015
A764985,254,34053.32445359841
A764985,491,34639.18016067973
A764985,622,35054.355793735864
A678003,101,33794.53261486279
A678003,424,34752.67511588622
A678003,472,34913.143561550925
A678003,489,34966.535789835725
A678003,508,35026.054995136816
A678003,605,35337.07201891604
A678003,608,35346.991886466225
A678003,655,35360.41288374
A421652,77,33253.608072567586
A421652,261,33714.590152840734
A421652,267,33728.886432545405
A421652,381,34046.90571577182
A421652,403,34125.38937374238
A421652,477,34184.90857904347
A421652,521,34378.05423546171
A421652,546,34433.19702860831
A125623,153,33701.460916377255
A125623,202,33755.43666628266
A125623,266,33931.95195651383
A125623,267,33934.86956461683
A125623,275,33939.82949839192
A125623,292,33962.58684159528
A125623,632,34850.998508957135
A125623,636,34861.793658938215
A125623,682,34971.203962800515
A125623,714,35049.687620771074
A125623,715,35052.31346806377
A305613,44,33388.10980611564
A305613,222,33779.94457434781
A305613,242,33815.539393204344
A305613,306,33965.21268888797
A305613,310,33972.21494833516
A305613,338,34024.14837256846
A305613,378,34107.88372512441
A305613,396,34151.06432504873
A305613,396,34152.231368289926
A305613,405,34161.56771421951
A305613,436,34197.16253307604
A305613,487,34316.492704488526
A305613,590,34594.83251751421
A305613,696,34837.57751168336
A654809,135,34344.20998146697
A654809,300,34807.81790903282
A654809,395,35054.64755454616
A654809,423,35121.75254091504
A654809,628,35802.138750533384
A654809,682,36018.625271775585
A558889,26,33836.83793235621
A558889,138,34100.29794405662
A558889,142,34108.46724674501
A558889,179,34205.04007495413
A558889,179,34205.33183576443
A558889,265,34417.73370566244
A558889,337,34476.96115015323
A558889,423,34545.5249405736
A558889,513,34787.102891501556
A558889,672,35203.73732860919
A558889,701,35301.768960869806
A558889,701,35302.3524824904
A558889,709,35326.56862974526
A097170,9,33260.31857120447
A097170,10,33262.65265768687
A097170,102,33531.07260316237
A097170,123,33580.96370172358
A097170,248,33820.79108778974
A097170,248,33821.666370220635
A097170,248,33821.95813103094
A097170,306,33980.967772644144
A097170,392,34251.43004379174
A097170,491,34520.14175007755
A097170,606,34803.733257688626
A097170,682,34997.462435727466
A097170,696,35033.3490153943
A097170,698,35038.30894916939
A640947,4,32639.159806076917
A640947,53,32749.445392370115
A640947,83,32827.92905034067
A640947,151,33114.72992686504
A640947,271,33209.84395102267
A640947,451,33786.071551364104
A640947,636,34223.421006002995
A640947,643,34237.42552489737
A640947,653,34253.76413027414
A465075,7,32899.41044886404
A465075,61,33015.823012173525
A465075,174,33382.56635071995
A465075,198,33431.873927660556
A465075,290,33596.13526385915
A465075,378,33809.12065537776
A465075,382,33819.04052292794
A465075,500,34113.4271805201
A465075,500,34114.010702140695
A465075,565,34384.181212478
A465075,651,34666.02215522728
A465075,668,34712.70388487519
A210324,34,33665.866097520724
A210324,165,34005.183919899
A210324,177,34021.52252527577
A210324,218,34120.137679156986
A210324,365,34472.58473799873
A210324,377,34486.88101770341
A210324,553,34932.10801422039
A699738,6,33348.43033591491
A699738,137,33746.975602783976
A699738,138,33750.184971697265
A699738,204,33904.52644034568
A699738,321,34322.61968150481
A699738,503,34928.315123686494
A699738,655,35342.90723512203
A699738,687,35441.814149813545
A699738,688,35446.19056196804
A699738,693,35461.070363293315
A704888,59,33030.4110526885
A704888,224,33471.261637050986
A704888,245,33503.93884780452
A704888,411,33970.75614428366
A704888,429,33983.88538074714
A704888,431,33989.428836142826
A704888,443,34007.226245571095
A704888,456,34028.23302391265
A704888,458,34033.192957687745
A704888,486,34059.451430614696
A704888,491,34069.954819785475
A704888,506,34088.33575083435
A704888,512,34101.17322648752
A704888,557,34207.66592224682
A704888,595,34270.10273565091
A704888,600,34277.98027752899
A105614,2,33227.93312126123
A105614,12,33256.23391986028
A105614,13,33259.15152796327
A105614,80,33393.06973989073
A105614,81,33395.69558718342
A105614,88,33401.53080338941
A105614,158,33672.57659615761
A105614,159,33675.78596507091
A105614,175,33710.79726230684
A105614,210,33775.85992300362
A105614,384,34122.471765639384
A105614,489,34428.52885564352
A105614,545,34689.363020051234
A105614,545,34689.654780861536
A105614,581,34787.97817393245
A105614,716,35164.64138002906
A105614,717,35167.558988132056
A105614,719,35173.68596514834
A558858,37,33276.073654960644
A558858,62,33329.757644055746
A558858,184,33702.627959618454
A558858,186,33706.71261096265
A558858,232,33826.62630399573
A558858,249,33866.889295817055
A558858,266,33895.1900944161
A558858,300,33970.75614428366
A558858,306,33979.800729402945
A558858,306,33980.38425102354
A558858,365,34129.18226427627
A558858,461,34394.684601648776
A558858,550,34700.74169165291
A558858,617,34842.24568464815
A558858,633,34886.885088623974
A558858,656,34968.28635469752
A558858,669,34975.28861414471
A558858,676,34991.62721952148
A558858,693,35003.58941274376
A112094,8,33325.38123190125
A112094,81,33545.66064367734
A112094,232,33945.66471459791
A112094,265,34024.73189418906
A112094,290,34085.41814273135
A112094,343,34197.16253307604
A112094,454,34636.55431338703
A112094,553,34963.90994254303
A112094,639,35190.31633133541
A112094,649,35196.4433083517
A112094,650,35199.360916454694
A112094,660,35221.53473803745
A112094,662,35227.078193433146
A112094,666,35239.04038665542
A112094,675,35241.082712327516
A112094,676,35244.29208124081
A112094,678,35249.8355366365
A112094,712,35304.3948081625
A737807,8,33288.61936980352
A737807,9,33290.95345628592
A737807,75,33426.913993885464
A737807,81,33440.91851277984
A737807,121,33552.66290312453
A737807,177,33714.881913651036
A737807,268,33875.058598505435
A737807,420,34222.8374843824
A737807,446,34327.8713760902
A737807,448,34332.831309865294
A737807,452,34342.167655794874
A737807,633,35057.27340183886
A301854,250,34100.006183246325
A301854,251,34103.507312969916
A301854,252,34105.25787783171
A301854,253,34108.46724674501
A301854,262,34113.1354197098
A301854,272,34142.603261550044
A301854,277,34149.02199937663
A301854,277,34149.31376018693
A301854,308,34231.00678707078
A301854,310,34234.79967760467
A301854,362,34358.798021981944
A301854,435,34529.47809600713
A301854,497,34701.325213273514
A301854,585,34987.54256817728
A301854,618,35103.66337067647
A301854,620,35109.20682607216
A301854,680,35273.46816227076
A521377,4,33377.022895324255
A521377,12,33398.613195286416
A521377,106,33671.40955291641
A521377,110,33694.16689611977
A521377,142,33751.06025412817
A521377,285,34078.12412247386
A521377,493,34619.04866476906
A521377,528,34675.35850115686
A521377,648,35021.095061361724
A521377,710,35144.801644928695
A920271,40,32964.473109560815
A920271,58,33035.954508084185
A920271,128,33230.26720774363
A920271,143,33276.94893739154
A920271,157,33303.79093193909
A920271,258,33521.44449642249
A920271,320,33749.89321088697
A920271,330,33765.64829464314
A920271,382,33863.38816609346
A920271,424,33921.740328153355
A920271,424,33922.32384977395
A920271,430,33926.99202273874
A920271,547,34266.018084306714
A920271,714,34706.8686686692
A920271,717,34713.87092811639
A413650,86,33817.87347968674
A413650,134,34022.397807706664
A413650,139,34041.36226037613
A413650,169,34153.69017234143
A413650,178,34168.2782128564
A413650,197,34242.38545867246
A413650,197,34243.84426272396
A413650,212,34267.476888358215
A413650,212,34267.768649168516
A413650,295,34529.47809600713
A413650,298,34531.520421679226
A413650,322,34613.505209373376
A413650,338,34703.07577813531
A413650,362,34732.83538078586
A413650,363,34736.04474969915
A413650,476,35003.00589112315
A413650,512,35161.14025030546
A413650,516,35172.81068271744
A413650,686,35526.71654561069
A442308,83,33145.07305113618
A442308,84,33148.57418085978
A442308,85,33152.36707139367
A442308,102,33221.80614424494
A442308,161,33475.929810015776
A442308,167,33487.600242427754
A442308,167,33488.18376404835
A442308,257,33935.744847047725
A442308,346,34262.51695458312
A442308,435,34646.18242012691
A442308,435,34646.765941747515
A442308,527,35078.86370180102
A442308,564,35219.784173175656
A442308,579,35275.802248753156
A442308,593,35307.0206554552
A442308,600,35335.32145405425
A442308,600,35336.48849729544
A799993,60,33878.55972822903
A799993,94,34001.9745509857
A799993,108,34044.86339009972
A799993,123,34089.50279407554
A799993,124,34092.42040217853
A799993,124,34092.712162988835
A799993,188,34406.06327325046
A799993,200,34426.19476916112
A799993,307,34774.848937468974
A799993,308,34778.35006719257
A799993,419,35179.52118135433
A799993,419,35179.52118135433
A799993,446,35315.18995814358
A799993,477,35451.73401736373
A799993,639,36074.05982573248
A799993,640,36076.39391221487
A799993,657,36128.61909725848
A848224,84,33075.342217474616
A848224,109,33180.08434837212
A848224,136,33253.02455094698
A848224,305,33846.17427828579
A848224,319,33864.555209334656
A848224,365,33985.635945608934
A848224,375,33996.722856400316
A848224,375,33996.722856400316
A848224,411,34079.87468733566
A848224,509,34408.980881353455
A848224,693,34997.462435727466
A848224,694,34999.21300058926
A724249,84,33232.309533415726
A724249,85,33235.81066313932
A724249,222,33793.36557162159
A724249,232,33834.795606684114
A724249,238,33837.129693166506
A724249,335,34215.25170331461
A724249,335,34215.54346412491
A724249,362,34310.365727472235
A724249,377,34316.492704488526
A724249,377,34316.492704488526
A724249,411,34385.3482557192
A724249,506,34724.95783890777
A724249,536,34820.94714549629
A724249,537,34824.74003603018
A724249,542,34832.03405628767
A724249,594,35024.30443027502
A724249,597,35032.7654937737
A724249,639,35241.95799475841
A724249,647,35267.63294606477
A724249,659,35285.43035549304
A438982,62,34076.081796801765
A438982,93,34209.12472629832
A438982,145,34381.847125995606
A438982,145,34382.4306476162
A438982,155,34423.86068267872
A438982,159,34439.907527245196
A438982,170,34501.17729740808
A438982,332,35030.13964648101
A438982,410,35252.753144739494
A438982,427,35273.75992308106
A438982,478,35491.12172675416
A438982,509,35620.371765716816
A438982,606,35969.31769483497
A438982,716,36467.35339801615
A549492,53,34070.53834140608
A549492,58,34083.66757786955
A549492,76,34188.40970876706
A549492,129,34437.2816799525
A549492,130,34440.78280967609
A549492,131,34446.034504261486
A549492,155,34555.153047313484
A549492,164,34571.783413500554
A549492,166,34579.36919456834
A549492,167,34585.20441077433
A549492,226,34879.882829176786
A549492,313,35229.70404072584
A549492,317,35248.376732585006
A549492,317,35249.543775826205
A549492,354,35374.41740263437
A549492,354,35375.58444587557
A549492,495,35910.382011154485
A549492,525,36025.04400960217
A549492,648,36588.43413429043
A549492,663,36617.610215320376
A549492,677,36669.83540036398
A713508,130,34323.49496393571
A713508,238,34618.46514314847
A713508,329,35019.05273568963
A713508,371,35132.839451706415
A713508,411,35266.46590282357
A713508,476,35490.538205133555
A713508,576,35859.61563016238
A713508,591,35895.21044901891
A713508,603,35937.807527322635
A713508,630,36033.21331229056
A548095,21,33853.46829854328
A548095,22,33857.26118907717
A548095,165,34541.44028922941
A548095,166,34544.941418953
A548095,176,34573.24221755205
A548095,220,34793.22986851785
A548095,231,34823.864753599286
A548095,243,34866.75359271331
A548095,258,34924.5222331526
A548095,270,34943.48668582206
A548095,275,34964.20170335333
A548095,308,35041.518318082686
A548095,369,35240.79095151722
A548095,383,35286.88915954453
A548095,472,35543.93043341836
A548095,558,35702.356553410966
A705879,49,34355.88041387895
A705879,124,34639.76368230033
A705879,220,35018.760974879326
A705879,320,35325.98510812466
A705879,355,35464.2797322066
A705879,392,35558.518473933334
A705879,399,35596.447379272264
A705879,403,35598.19794413406
A705879,582,36270.99837268462
A705879,603,36349.77379146547
A705879,704,36620.52782342337
A705879,705,36622.86190990577
A791902,8,33478.26389649817
A791902,47,33690.957527206476
A791902,128,34004.6003982784
A791902,216,34263.39223701402
A791902,249,34347.127589569965
A791902,250,34351.50400172446
A791902,271,34427.945334022916
A791902,271,34428.23709483322
A791902,329,34611.46288370128
A791902,434,34944.65372906326
A791902,493,35019.05273568963
A791902,512,35048.81233834017
A791902,520,35083.82363557611
A791902,537,35145.38516654929
A791902,609,35335.029693243945
A791902,730,35721.321006080434
A429540,57,33172.498567304334
A429540,155,33490.80961134105
A429540,175,33573.086159845494
A429540,186,33621.22669354491
A429540,299,34073.16418869877
A429540,336,34216.12698574551
A429540,370,34313.866857195826
A429540,370,34313.866857195826
A429540,456,34487.17277851371
A429540,484,34579.36919456834
A429540,631,34979.0815046786
A429540,657,35055.52283697706
A429540,679,35126.42071387983
A429540,729,35250.1272974468
A370904,60,33326.25651433215
A370904,60,33326.54827514245
A370904,158,33733.8463663205
A370904,236,34094.46272785063
A370904,242,34127.139938604174
A370904,345,34496.50912444329
A370904,424,34700.74169165291
A370904,608,35324.526304073166
A651889,42,33602.55400168574
A651889,91,33729.46995416601
A651889,151,33906.27700520748
A651889,245,34163.31827908131
A651889,316,34447.49330831298
A651889,338,34511.68068657886
A651889,422,34810.15199551521
A651889,435,34816.8624941521
A651889,488,35011.75871543214
A651889,604,35368.290425618085
A651889,609,35384.33727018455
A651889,609,35384.62903099485
A651889,717,35735.617285785105
A651889,721,35748.16300062798
A639721,10,33606.34689221963
A639721,109,33957.335147009886
A639721,111,33964.629167267376
A639721,131,34041.07049956583
A639721,154,34112.2601372789
A639721,223,34383.0141692368
A639721,228,34384.181212478
A639721,282,34628.676771508945
A639721,317,34786.811130691254
A639721,333,34821.82242792719
A639721,336,34825.90707927138
A639721,368,34922.77166829081
A639721,377,34949.32190202805
A639721,412,35082.36483152461
A639721,473,35311.98058923028
A639721,500,35411.4710255424
A639721,546,35486.74531459966
A639721,553,35509.794418613325
A639721,553,35509.794418613325
A639721,596,35570.18890634531
A639721,678,35800.38818567159
A639721,702,35868.07669366106
A095743,60,32978.47762845519
A095743,158,33295.62162925071
A095743,207,33540.117188281656
A095743,210,33550.32881664213
A095743,242,33669.367227244315
A095743,265,33724.218259580615
A095743,341,34006.64272395049
A095743,365,34123.93056969088
A095743,425,34345.08526389787
A095743,441,34381.847125995606
A095743,578,34696.657040308724
A095743,663,34974.41333171381
A095743,666,34983.166156022795
A196573,64,33697.66802584336
A196573,100,33854.05182016388
A196573,162,34120.137679156986
A196573,194,34243.84426272396
A196573,210,34286.441341027676
A196573,215,34305.11403288684
A196573,227,34366.092042239434
A196573,325,34735.16946726825
A196573,343,34789.72873879425
A196573,368,34905.849541293435
A196573,387,34953.11479256195
A196573,409,35034.5160586355
A196573,421,35080.614266662815
A196573,426,35094.32702474689
A196573,484,35292.140854129924
A196573,499,35359.5376013091
A196573,562,35578.649969843995
A196573,562,35578.649969843995
A196573,605,35731.24087363061
A196573,606,35734.158481733604
A196573,607,35738.2431330778
A196573,607,35738.5348938881
A196573,622,35739.410176319
A196573,627,35756.915824936965
A196573,627,35756.915824936965
A196573,644,35780.840211381525
A196573,648,35790.468318121406
A196573,649,35793.0941654141
A196573,649,35793.3859262244
A569664,182,33611.59858680503
A569664,188,33616.55852058012
A569664,263,33768.274141935835
A569664,317,33965.79621050857
A569664,324,33987.67827128103
A569664,370,34187.826187146464
A569664,370,34188.40970876706
A569664,452,34471.12593394724
A569664,538,34800.81564958563
A569664,556,34844.28801032025
A569664,582,34935.609143943984
A569664,582,34935.90090475428
A569664,638,35174.26948676894
A569664,660,35259.46364337638
A569664,671,35302.06072168011
A569664,682,35338.23906215724
A851278,9,33362.43485480928
A851278,18,33377.89817775515
A851278,58,33531.36436397267
A851278,61,33543.32655719495
A851278,107,33742.59919062948
A851278,129,33860.762318800764
A851278,137,33891.688964692505
A851278,313,34385.056494908895
A851278,390,34679.73491331135
A851278,397,34705.993386238304
A851278,413,34760.5526577643
A851278,496,35057.56516264915
A851278,586,35337.363779726336
A851278,683,35725.69741823492
A851278,711,35823.729050495545
A851278,716,35840.94293830321
A217825,2,33826.04278237513
A217825,66,34183.74153580227
A217825,94,34253.76413027414
A217825,102,34293.735361285166
A217825,136,34341.000612553675
A217825,209,34619.92394719996
A217825,221,34659.01989578009
A217825,233,34707.7439511001
A217825,253,34791.479303656044
A217825,358,35168.43427056295
A217825,435,35398.050028268626
A217825,437,35405.92757014671
A217825,496,35592.07096711777
A217825,531,35674.34751562222
A217825,558,35733.57496011301
A217825,619,35967.56712997318
A289678,146,33977.466642920546
A289678,148,33985.05242398834
A289678,197,34096.21329271243
A289678,202,34111.9683764686
A289678,209,34129.474025086565
A289678,324,34528.019291955636
A289678,408,34801.10741039593
A289678,503,35204.90437185038
A289678,544,35324.234543262864
A289678,687,35898.1280571219
A289678,702,35948.60267730371
A289678,704,35957.35550161269
A568725,67,33488.18376404835
A568725,295,34408.10559892256
A568725,452,34892.13678320936
A234852,21,33487.30848161745
A234852,25,33501.02123970153
A234852,42,33530.489081541775
A234852,83,33736.76397442349
A234852,152,34044.86339009972
A234852,224,34301.02938154265
A882703,138,33368.56183182557
A882703,288,33736.180452802895
A882703,341,33983.88538074714
A024432,15,33247.7728563616
A024432,22,33251.85750770579
A024432,30,33258.56800634268
A024432,63,33349.597379156105
A024432,90,33487.01672080715
A024432,107,33527.27971262848
A024432,120,33537.78310179926
A024432,128,33564.91685715711
A024432,128,33565.50037877771
A024432,138,33576.879050379386
A024432,157,33659.15559888384
A024432,220,33969.297340232166
A024432,247,34082.208773818056
A024432,343,34563.90587162247
A024432,423,34909.64243182733
A024432,444,34984.333199263994
A024432,607,35484.99474973787
A024432,624,35539.554021263866
A024432,624,35539.554021263866
A024432,625,35543.34691179776
A024432,705,35861.36619502417
A248859,23,33181.54315242362
A248859,91,33470.67811543038
A248859,118,33627.64543137149
A248859,124,33645.15107998946
A248859,208,33875.35035931574
A248859,264,34095.046249471234
A248859,305,34251.13828298145
A248859,305,34252.59708703294
A248859,332,34322.61968150481
A248859,390,34504.97018794197
A248859,408,34548.150787866296
A248859,481,34821.530667116895
A248859,561,35086.1577220585
A248859,568,35105.12217472797
A248859,690,35508.627375372125
A942608,59,33015.823012173525
A942608,144,33439.16794791804
A942608,149,33461.0500086905
A942608,149,33462.2170519317
A942608,320,33966.37973212917
A942608,336,34038.73641308343
A942608,359,34123.34704807028
A942608,370,34131.22458994837
A942608,406,34282.940211304085
A942608,416,34288.48366669977
A942608,428,34333.123070675596
A942608,435,34346.835828759664
A942608,444,34359.089782792245
A942608,465,34402.56214352686
A942608,512,34562.15530676067
A942608,538,34645.89065931662
A942608,575,34730.20953349316
A942608,640,34907.308345344936
A942608,696,35064.56742209634
A276025,27,33777.90224867572
A276025,46,33880.01853228053
A276025,67,33944.49767135671
A276025,97,33985.927706419236
A276025,129,34055.07501846021
A276025,129,34055.950300891105
A276025,166,34248.22067487845
A276025,168,34254.63941270504
A276025,175,34290.52599237187
A276025,250,34628.38501069865
A276025,385,34994.54482762447
A276025,433,35157.93088139217
A276025,614,35775.58851679613
A780091,28,33889.35487821011
A780091,50,33966.08797131887
A780091,221,34772.806611796885
A780091,230,34795.56395500024
A780091,480,35751.080608730976
A780091,549,35970.19297726587
A780091,549,35970.19297726587
A780091,595,36059.7635460278
A780091,641,36157.21165666782
A780091,688,36323.51531853852
A138987,12,33625.8948665097
A138987,115,34031.15063201565
A138987,165,34260.474628911026
A138987,200,34417.73370566244
A138987,203,34423.56892186843
A138987,241,34551.06839596929
A138987,248,34579.952716188935
A138987,303,34836.41046844216
A138987,337,34957.49120471644
A138987,385,35078.280180180416
A138987,505,35549.47388881405
A138987,531,35618.62120085502
A138987,614,35830.14778832213
A138987,615,35833.94067885602
A138987,712,36263.99611323743
A751045,54,33709.63021906564
A751045,61,33727.71938930421
A751045,139,34037.56936984224
A751045,192,34197.16253307604
A751045,247,34428.23709483322
A751045,257,34444.28393939969
A751045,260,34455.370850191066
A751045,324,34773.68189422778
A751045,420,35063.983900475745
A751045,463,35276.96929199435
A751045,489,35399.217071509825
A751045,535,35627.374025164005
A751045,599,35786.96718839781
A751045,599,35786.96718839781
A751045,692,36064.723479802895
A751045,695,36074.93510816338
A751045,708,36121.61683781129
A275002,14,33367.10302777407
A275002,16,33375.27233046246
A275002,27,33378.481699375756
A275002,164,33903.942918725086
A275002,237,34108.46724674501
A275002,252,34131.51635075866
A275002,398,34529.47809600713
A275002,424,34548.73430948689
A275002,473,34747.715182111126
A275002,483,34776.89126314107
A275002,623,35181.563507026425
A275002,624,35185.06463675002
A275002,657,35267.04942444417
A519059,55,33893.7312903646
A519059,144,34125.972895362975
A519059,150,34147.271434514834
A519059,151,34151.35608585903
A519059,186,34318.24326935032
A519059,237,34490.382147427
A519059,238,34493.5915163403
A519059,527,35474.19959975679
A519059,577,35735.3255249748
A519059,608,35816.143269427754
A519059,688,36086.89730138566
A537042,102,33087.59617150719
A537042,187,33452.58894519182
A537042,191,33454.339510053615
A537042,199,33455.79831410511
A537042,291,33533.11492883447
A537042,438,33947.998801080306
A537042,469,34100.006183246325
A537042,654,34944.945489873564
A537042,663,34965.076985784224
A537042,702,35089.3670909718
A011599,9,32802.54585984462
A011599,36,32912.83144613781
A011599,49,32944.92513527075
A011599,102,33178.625544320625
A011599,102,33178.625544320625
A011599,112,33199.04880104159
A011599,161,33446.17020736523
A011599,186,33552.079381503936
A011599,191,33553.82994636573
A011599,213,33634.93945162898
A011599,285,33978.633686161746
A011599,310,34014.81202663888
A011599,313,34025.89893743026
A011599,377,34142.31150073974
A011599,562,34726.124882148964
A011599,621,34875.21465621199
A011599,622,34877.84050350469
A011599,663,35072.153203164125
A975216,22,34161.85947502981
A975216,69,34410.43968540495
A975216,134,34647.34946336811
A975216,179,34829.40820899497
A975216,256,35178.062377302835
A975216,256,35178.062377302835
A975216,273,35230.287562346435
A975216,358,35638.169175145085
A975216,438,35992.07503803833
A975216,573,36612.650281545284
A975216,616,36785.080920432265
A975216,640,36890.990094570974
A975216,722,37240.81130612003
A411498,7,33644.567558368864
A411498,52,33863.38816609346
A411498,194,34565.07291486367
A411498,324,35063.10861804485
A411498,419,35397.46650664803
A411498,513,35702.356553410966
A411498,574,35955.0214151303
A277974,3,33155.57644030696
A277974,155,33753.10257980026
A277974,172,33770.89998922853
A277974,195,33867.18105662735
A277974,251,33975.132556438155
A277974,429,34585.20441077433
A277974,429,34585.20441077433
A277974,449,34628.676771508945
A277974,539,34905.26601967284
A277974,565,34998.629478968665
A277974,565,34998.92123977897
A277974,566,35000.963565451064
A277974,610,35005.92349922615
A277974,724,35323.94278245256
A073164,31,33257.69272391178
A073164,36,33274.03132928855
A073164,84,33511.81638968261
A073164,129,33663.82377184863
A073164,129,33664.40729346922
A073164,131,33671.11779210612
A073164,135,33677.5365299327
A073164,151,33743.76623387068
A073164,187,33890.52192145131
A073164,240,34087.752229213744
A073164,283,34285.56605859678
A073164,310,34352.67104496565
A073164,408,34644.14009445482
A073164,408,34645.307137696014
A073164,458,34760.260896954
A073164,471,34821.23890630659
A073164,568,35206.654936712184
A073164,573,35224.74410695075
A073164,607,35385.21255261545
A073164,617,35395.13242016563
A073164,630,35421.682653902884
A073164,649,35470.11494841259
A073164,700,35618.037679234425
A917296,21,33009.987795967536
A917296,51,33166.663351098345
A917296,61,33226.182556399435
A917296,104,33427.49751550606
A917296,104,33428.372797936965
A917296,112,33430.99864522966
A917296,146,33583.881309826575
A917296,147,33586.79891792957
A917296,147,33587.67420036047
A917296,205,33862.51288366256
A917296,206,33866.01401338616
A917296,209,33880.01853228053
A917296,244,34012.18617934619
A917296,244,34013.353222587386
A917296,262,34040.486977945235
A917296,350,34369.00965034243
A917296,350,34369.30141115272
A917296,609,35076.82137612892
A917296,627,35115.62556389875
A917296,694,35361.87168779149
A629025,70,34057.117344132304
A629025,172,34430.86294212591
A629025,263,34773.09837260718
A629025,488,35391.923051252335
A629025,489,35395.42418097593
A629025,632,35942.475700287425
A629025,702,36180.84428230208
A129867,60,34158.94186692681
A129867,121,34485.71397446221
A129867,126,34505.55370956258
A129867,271,34932.983296651284
A129867,272,34937.35970880578
A129867,331,35137.79938548151
A129867,426,35555.01734420974
A129867,453,35692.728446671084
A129867,463,35732.40791687181
A129867,516,35967.56712997318
A129867,518,35969.901216455575
A129867,521,35981.27988805725
A129867,547,36051.30248252912
A129867,547,36051.59424333942
A129867,617,36312.72016855744
A129867,665,36512.28456280227
A129867,702,36565.96855189737
A627764,76,33671.993074537015
A627764,84,33672.28483534731
A627764,85,33676.661247501805
A627764,86,33681.03765965629
A627764,105,33714.590152840734
A627764,176,34115.76126700249
A627764,252,34367.84260710123
A627764,438,35049.39585996077
A627764,483,35274.343444701655
A627764,533,35424.01674038528
